ticker,class,feature,ic,p_value,bars
NVDA,MAG7,rsi_14,-0.017098822624345294,0.00017312983164644114,48230
NVDA,MAG7,volume_zscore,0.011482793451385141,0.011675876008661865,48230
NVDA,MAG7,log_return,-0.00475414298687459,0.2964614000029525,48230
NVDA,MAG7,rvol,0.019042209990513384,2.8871035887682297e-05,48230
NVDA,MAG7,parkinson_vol,-0.010816694035258943,0.01752529909548189,48230
AAPL,MAG7,rsi_14,-0.06516160849268068,5.3186191819872717e-45,46568
AAPL,MAG7,volume_zscore,0.0066033740304702925,0.15416867518615784,46568
AAPL,MAG7,log_return,-0.03384942547601517,2.74241633427572e-13,46568
AAPL,MAG7,rvol,0.00796621366421199,0.08560348967972156,46568
AAPL,MAG7,parkinson_vol,0.0022581824719630677,0.6260494767039921,46568
MSFT,MAG7,rsi_14,-0.07002330662255277,3.391570336282214e-47,42360
MSFT,MAG7,volume_zscore,0.005868276078625746,0.22714088182023948,42360
MSFT,MAG7,log_return,-0.03959703264670893,3.560708418670361e-16,42360
MSFT,MAG7,rvol,0.0006886091306794678,0.8872994123664061,42360
MSFT,MAG7,parkinson_vol,0.01907536590185354,8.628177501718084e-05,42360
GOOGL,MAG7,rsi_14,-0.025207693509878115,5.900986743109698e-08,46249
GOOGL,MAG7,volume_zscore,-0.0028482396274333395,0.5401969725420155,46249
GOOGL,MAG7,log_return,-0.02254686601105595,1.2388555464549715e-06,46249
GOOGL,MAG7,rvol,0.0009200931981825976,0.8431498446239545,46249
GOOGL,MAG7,parkinson_vol,0.007951910532255538,0.08725009184291536,46249
AMZN,MAG7,rsi_14,-0.030025654659969942,7.949560529942533e-11,46868
AMZN,MAG7,volume_zscore,-0.018031913739699063,9.463706580600298e-05,46868
AMZN,MAG7,log_return,-0.024273035548902783,1.476164060593503e-07,46868
AMZN,MAG7,rvol,-0.01323878559728841,0.004155415749900328,46868
AMZN,MAG7,parkinson_vol,-0.003658000589759834,0.4284173830732396,46868
META,MAG7,rsi_14,-0.03429641767834889,1.704217300098517e-12,42314
META,MAG7,volume_zscore,-0.015987668235805243,0.0010060296072398837,42314
META,MAG7,log_return,-0.019922441221112336,4.1600703467978796e-05,42314
META,MAG7,rvol,-0.018570774448304697,0.00013329321863329285,42314
META,MAG7,parkinson_vol,-0.004328777528214466,0.37323864023311915,42314
TSLA,MAG7,rsi_14,0.0012724035832631208,0.7799307068695513,48223
TSLA,MAG7,volume_zscore,0.01024227111341382,0.024501277138795737,48223
TSLA,MAG7,log_return,-0.0050011433588661265,0.2721100626149802,48223
TSLA,MAG7,rvol,0.01395419606711583,0.0021812577888640607,48223
TSLA,MAG7,parkinson_vol,-0.01501307920035923,0.0009774686113115877,48223
SPY,INDICES,rsi_14,-0.021154943031709277,3.70312040933879e-06,47838
SPY,INDICES,volume_zscore,-0.003180002962183761,0.4867353424270543,47838
SPY,INDICES,log_return,-0.01116924192930552,0.01456824947270479,47838
SPY,INDICES,rvol,0.00558265452570285,0.22208215377422277,47838
SPY,INDICES,parkinson_vol,0.01875484667675831,4.090724959964188e-05,47838
IWM,INDICES,rsi_14,-0.027418207157052014,2.916618188385642e-09,46860
IWM,INDICES,volume_zscore,-0.008724649585476116,0.058942047635682955,46860
IWM,INDICES,log_return,-0.02234269555544612,1.3178944836823658e-06,46860
IWM,INDICES,rvol,-0.007871874572392053,0.08837752467691581,46860
IWM,INDICES,parkinson_vol,0.004918152472964581,0.28704842352868776,46860
QQQ,INDICES,rsi_14,-0.0204475123109823,7.320774433124821e-06,48085
QQQ,INDICES,volume_zscore,0.0035328814480910173,0.4385270896825788,48085
QQQ,INDICES,log_return,-0.00663973177176372,0.14540423502218758,48085
QQQ,INDICES,rvol,0.01021781001822263,0.025052549293646593,48085
QQQ,INDICES,parkinson_vol,0.020717645305408424,5.535530635373921e-06,48085
GLD,COMMODITIES,rsi_14,-0.043312002523447066,1.6133675919607598e-19,43494
GLD,COMMODITIES,volume_zscore,-0.0018423182787308326,0.7008237522271551,43494
GLD,COMMODITIES,log_return,-0.028302457322734773,3.55759052699319e-09,43494
GLD,COMMODITIES,rvol,-0.008482563401348736,0.07688756166059532,43494
GLD,COMMODITIES,parkinson_vol,0.0029045440805264607,0.544692208864184,43494
USO,COMMODITIES,rsi_14,-0.011759578751318637,0.023331939118698262,37195
USO,COMMODITIES,volume_zscore,-0.006355906925453433,0.22028458849595003,37195
USO,COMMODITIES,log_return,-0.009732132516677412,0.060528928034267,37195
USO,COMMODITIES,rvol,-0.006414023125401997,0.21609451174623553,37195
USO,COMMODITIES,parkinson_vol,-0.0032774451563878904,0.527341986251042,37195
