symbol,description,rsi_period,bands,upper,lower,avg_daily_vol,return,bh_return,outperformance,max_dd,sharpe,trades,profitable
IWM,Russell 2000 ETF,21,Ultra Wide (65/35),65,35,1.4143176854611572,33.46754991939351,29.19202827410161,4.275521645291903,-10.071237756010667,1.1429865544601694,4,True
IWM,Russell 2000 ETF,28,Standard (55/45),55,45,1.4143176854611572,22.128745047983447,29.19202827410161,-7.063283226118163,-11.126013779789892,0.8361185681556415,10,True
IWM,Russell 2000 ETF,28,Wide (58/42),58,42,1.4143176854611572,14.799035686397982,29.19202827410161,-14.392992587703628,-10.781079531592225,0.6109494455234914,8,True
IWM,Russell 2000 ETF,28,Very Wide (60/40),60,40,1.4143176854611572,17.123574407106315,29.19202827410161,-12.068453866995295,-11.359782950764556,0.6813370711056249,6,True
IWM,Russell 2000 ETF,28,Ultra Wide (65/35),65,35,1.4143176854611572,37.7107307238007,29.19202827410161,8.518702449699092,-10.925552133904581,1.234894564868769,2,True
GLD,Gold ETF,14,Standard (55/45),55,45,1.1565482554575621,56.44077570296183,98.3699701937406,-41.92919449077877,-12.107831605917438,1.8168030655672562,28,True
GLD,Gold ETF,14,Wide (58/42),58,42,1.1565482554575621,52.05824402774648,98.3699701937406,-46.311726165994116,-11.184926413733214,1.707285596116287,20,True
GLD,Gold ETF,14,Very Wide (60/40),60,40,1.1565482554575621,56.18624059515137,98.3699701937406,-42.18372959858923,-10.650011829201977,1.7561102742364891,18,True
GLD,Gold ETF,14,Ultra Wide (65/35),65,35,1.1565482554575621,80.55898050757988,98.3699701937406,-17.810989686160724,-10.127744015875006,2.249753475709475,8,True
GLD,Gold ETF,21,Standard (55/45),55,45,1.1565482554575621,54.09598261115598,98.3699701937406,-44.27398758258462,-14.365988323991234,1.6740871856016633,16,True
GLD,Gold ETF,21,Wide (58/42),58,42,1.1565482554575621,69.86966154597667,98.3699701937406,-28.50030864776393,-12.045378159899961,2.0034371922494905,12,True
GLD,Gold ETF,21,Very Wide (60/40),60,40,1.1565482554575621,72.16041385506756,98.3699701937406,-26.20955633867304,-12.274760803121136,2.021168846004844,8,True
GLD,Gold ETF,21,Ultra Wide (65/35),65,35,1.1565482554575621,95.77308386707078,98.3699701937406,-2.596886326669818,-10.127744015875024,2.410247695024985,2,True
GLD,Gold ETF,28,Standard (55/45),55,45,1.1565482554575621,77.60161810085025,98.3699701937406,-20.768352092890353,-10.127744015875011,2.1557658020095567,10,True
GLD,Gold ETF,28,Wide (58/42),58,42,1.1565482554575621,87.7736160785592,98.3699701937406,-10.596354115181398,-10.127744015874997,2.3094697195914815,4,True
GLD,Gold ETF,28,Very Wide (60/40),60,40,1.1565482554575621,95.77308386707078,98.3699701937406,-2.596886326669818,-10.127744015875024,2.410247695024985,2,True
GLD,Gold ETF,28,Ultra Wide (65/35),65,35,1.1565482554575621,95.77308386707078,98.3699701937406,-2.596886326669818,-10.127744015875024,2.410247695024985,2,True
TLT,20-Year Treasury Bond ETF,14,Standard (55/45),55,45,0.8087079775656218,-9.951295091480443,-4.5287505404236255,-5.422544551056817,-15.00215610959928,-0.6767213310014645,24,False
TLT,20-Year Treasury Bond ETF,14,Wide (58/42),58,42,0.8087079775656218,-8.200660233927884,-4.5287505404236255,-3.6719096935042588,-13.627460675358952,-0.5535685141206083,21,False
TLT,20-Year Treasury Bond ETF,14,Very Wide (60/40),60,40,0.8087079775656218,-5.999527085187747,-4.5287505404236255,-1.4707765447641217,-14.198063543710889,-0.37290618764499744,19,False
TLT,20-Year Treasury Bond ETF,14,Ultra Wide (65/35),65,35,0.8087079775656218,-3.737304496825127,-4.5287505404236255,0.7914460435984982,-13.497072457978371,-0.1966805638744403,11,False
TLT,20-Year Treasury Bond ETF,21,Standard (55/45),55,45,0.8087079775656218,-13.964730225846852,-4.5287505404236255,-9.435979685423227,-18.192651272461596,-0.9847956623538097,18,False
TLT,20-Year Treasury Bond ETF,21,Wide (58/42),58,42,0.8087079775656218,-18.28945419108325,-4.5287505404236255,-13.760703650659625,-21.469105126271245,-1.4203381930965604,15,False
TLT,20-Year Treasury Bond ETF,21,Very Wide (60/40),60,40,0.8087079775656218,-15.642637376077948,-4.5287505404236255,-11.113886835654323,-23.13871762864036,-1.0794497249346686,13,False
TLT,20-Year Treasury Bond ETF,21,Ultra Wide (65/35),65,35,0.8087079775656218,-9.529139054368715,-4.5287505404236255,-5.000388513945089,-17.74439645379679,-0.5888969982391712,7,False
TLT,20-Year Treasury Bond ETF,28,Standard (55/45),55,45,0.8087079775656218,-2.3228418065913137,-4.5287505404236255,2.205908733832312,-11.438489213249213,-0.11255297834140864,9,False
TLT,20-Year Treasury Bond ETF,28,Wide (58/42),58,42,0.8087079775656218,-5.907554542826729,-4.5287505404236255,-1.3788040024031032,-12.035132228485745,-0.4015941844404604,7,False
TLT,20-Year Treasury Bond ETF,28,Very Wide (60/40),60,40,0.8087079775656218,-1.0777201544192212,-4.5287505404236255,3.4510303860044043,-13.490918567959342,-0.023837994505219496,5,False
TLT,20-Year Treasury Bond ETF,28,Ultra Wide (65/35),65,35,0.8087079775656218,-2.3012397613768556,-4.5287505404236255,2.22751077904677,-15.031999460530255,-0.0853362585523218,3,False
