Configuration,Total Return (%),vs Buy-Hold (%),Max DD (%),Sharpe,Trades,Participation (%),TX Costs ($)
Baseline (No Hysteresis),16.565659990369387,-28.794708906099128,-11.249508698605355,0.8090564374378051,77,73.70517928286853,577.4999999999998
Variant F (Fixed 55/45),26.09724219961709,-19.263126696851426,-7.883723638314547,1.2773880187939357,37,72.90836653386454,277.49999999999994
Asymmetric 52/48,21.329465956640764,-24.03090293982775,-11.520258243272718,1.017192939505249,57,72.90836653386454,427.4999999999999
Asymmetric 55/48,24.889075584376812,-20.471293312091703,-7.258167264673833,1.2550307796533926,47,70.1195219123506,352.4999999999999
Adaptive ATR-Based,26.88281399309977,-18.477554903368745,-7.883723638314547,1.3092257743709894,37,73.10756972111554,277.49999999999994
