timestamp,equity,buy_hold_equity
2024-01-16 05:00:00,,
2024-01-17 05:00:00,50000.0,49722.06430421325
2024-01-18 05:00:00,49992.5,50164.23472932853
2024-01-19 05:00:00,50615.71444311528,50789.59004484871
2024-01-22 05:00:00,50722.73106466032,50896.97429094813
2024-01-23 05:00:00,50870.66580620789,51045.4172193797
2024-01-24 05:00:00,50926.27248210875,51101.21491588233
2024-01-25 05:00:00,51203.25667904887,51379.15061166908
2024-01-26 05:00:00,51138.20736007051,51313.87783462825
2024-01-29 05:00:00,51543.191829839016,51720.25351104371
2024-01-30 05:00:00,51503.32289240067,51680.24761543805
2024-01-31 05:00:00,50662.9276585028,50836.96544753963
2024-02-01 05:00:00,51326.01103905643,51502.32665866548
2024-02-02 05:00:00,51866.34005960251,52044.511822794935
2024-02-05 05:00:00,51677.48719805243,51855.01021203125
2024-02-06 05:00:00,51827.520304728336,52005.55871391574
2024-02-07 05:00:00,52259.78352116519,52439.306845219304
2024-02-08 05:00:00,52282.86553757687,52462.46815320154
2024-02-09 05:00:00,52585.03011605701,52765.670730423444
2024-02-12 05:00:00,52561.94809964533,52742.50942244121
2024-02-13 05:00:00,51838.01213037001,52016.08658118039
2024-02-14 05:00:00,52309.09510168105,52488.78782136315
2024-02-15 05:00:00,52670.013903754545,52850.94645526709
2024-02-16 05:00:00,52407.718262712755,52587.74977365085
2024-02-20 05:00:00,52119.193057566794,52298.23342387299
2024-02-21 05:00:00,52166.406272954315,52345.608826563905
2024-02-22 05:00:00,53246.0151314823,53428.92636809635
2024-02-23 05:00:00,53282.73652122816,53465.773903522626
2024-02-26 05:00:00,53087.588564293066,53269.95557240014
2024-02-27 05:00:00,53186.21172532477,53368.917524687844
2024-02-28 05:00:00,53115.916493525576,53298.38081401469
2024-02-29 05:00:00,53306.86772020399,53489.9879982313
2024-03-01 05:00:00,53807.327803311724,53992.167266755096
2024-03-04 05:00:00,53749.622762282524,53934.26399679951
2024-03-05 05:00:00,53212.44128942895,53395.23719284947
2024-03-06 05:00:00,53482.0812084199,53665.803381550955
2024-03-07 05:00:00,54012.96758588846,54198.51346514222
2024-03-08 05:00:00,53688.77017356083,53873.202366664555
2024-03-11 04:00:00,53642.60614073747,53826.879750700085
2024-03-12 04:00:00,54219.656551029395,54405.91245025581
2024-03-13 04:00:00,54134.67276333186,54320.636725412165
2024-03-14 04:00:00,54027.656141786814,54213.25247931274
2024-03-15 04:00:00,53490.47466893323,53674.22567536267
2024-03-18 04:00:00,53808.376985875875,53993.22005348155
2024-03-19 04:00:00,54107.3940166635,54293.26427052406
2024-03-20 04:00:00,54607.854099771226,54795.443539047825
2024-03-21 04:00:00,54788.313500807984,54976.52285599981
2024-03-22 04:00:00,54684.44442695544,54872.29697007977
2024-03-25 04:00:00,54533.36213771536,54720.69568146881
2024-03-26 04:00:00,54432.6406115553,54619.62815572817
2024-03-27 04:00:00,54890.084209532186,55078.6431684669
2024-03-28 04:00:00,54879.59238389052,55068.115301202255
2024-04-01 04:00:00,54784.11677055131,54972.311709093934
2024-04-02 04:00:00,54435.78815924782,54622.78651590757
2024-04-03 04:00:00,54495.591565405346,54682.79535931607
2024-04-04 04:00:00,53822.23548098858,54015.3285747373
2024-04-05 04:00:00,53822.23548098858,54579.62226012251
2024-04-08 04:00:00,53822.23548098858,54610.15307518999
2024-04-09 04:00:00,53822.23548098858,54673.3202787779
2024-04-10 04:00:00,53822.23548098858,54125.871181016126
2024-04-11 04:00:00,53822.23548098858,54534.35243088452
2024-04-12 04:00:00,53822.23548098858,53781.609921462084
2024-04-15 04:00:00,53822.23548098858,53107.826416524505
2024-04-16 04:00:00,53822.23548098858,53010.97003768973
2024-04-17 04:00:00,53822.23548098858,52697.23959320318
2024-04-18 04:00:00,53822.23548098858,52588.80256037729
2024-04-19 04:00:00,53822.23548098858,52129.787547638574
2024-04-22 04:00:00,53822.23548098858,52609.85829490659
2024-04-23 04:00:00,53822.23548098858,53234.160823700295
2024-04-24 04:00:00,53822.23548098858,53208.893942265146
2024-04-25 04:00:00,53822.23548098858,53006.758890783865
2024-04-26 04:00:00,53822.23548098858,53508.938159307654
2024-04-29 04:00:00,53814.162145666436,53698.43977007134
2024-04-30 04:00:00,52953.60515655028,52847.78809508766
2024-05-01 04:00:00,52953.60515655028,52676.183858673874
2024-05-02 04:00:00,52953.60515655028,53168.88804665947
2024-05-03 04:00:00,52945.662115776795,53827.93253742654
2024-05-06 04:00:00,53492.422459165675,54383.80392900003
2024-05-07 04:00:00,53551.44772350878,54443.81277240853
2024-05-08 04:00:00,53556.62537827573,54449.076706040854
2024-05-09 04:00:00,53865.21360238535,54762.807150527406
2024-05-10 04:00:00,53934.59417626236,54833.34386120057
2024-05-13 04:00:00,53941.842892936074,54840.71336828582
2024-05-14 04:00:00,54189.334790795816,55092.32939591094
2024-05-15 04:00:00,54860.35884859126,55774.53519466024
2024-05-16 04:00:00,54747.485974671974,55659.78144147556
2024-05-17 04:00:00,54826.18632712946,55739.7932326869
2024-05-20 04:00:00,54889.35371528612,55804.013223001246
2024-05-21 04:00:00,55023.972739226556,55940.87549744169
2024-05-22 04:00:00,54865.53650335819,55779.799128292565
2024-05-23 04:00:00,54464.78602439703,55372.37066515063
2024-05-24 04:00:00,54825.15079617607,55738.74044596043
2024-05-28 04:00:00,54863.46544145142,55777.69355483962
2024-05-29 04:00:00,54479.28345774447,55387.10967932113
2024-05-30 04:00:00,54109.71126249338,55019.687111784864
2024-05-31 04:00:00,54101.594805804,55520.813593582185
2024-06-03 04:00:00,54145.70745113174,55566.083422820164
2024-06-04 04:00:00,54206.23410402331,55628.197839681605
2024-06-05 04:00:00,54850.48390090301,56289.34790390159
2024-06-06 04:00:00,54849.45802543028,56288.29511717513
2024-06-07 04:00:00,54782.776119702285,56219.86397995491
2024-06-10 04:00:00,54952.04557270411,56393.573789821625
2024-06-11 04:00:00,55084.38350868736,56529.383277535606
2024-06-12 04:00:00,55536.79459216498,56993.662223906635
2024-06-13 04:00:00,55648.61501869347,57108.41597709132
2024-06-14 04:00:00,55682.46890929383,57143.15793906466
2024-06-17 04:00:00,56125.64711351681,57597.961804897524
2024-06-18 04:00:00,56268.24380422744,57744.299159876144
2024-06-20 04:00:00,56115.38835878942,57587.43393763287
2024-06-21 04:00:00,55859.94536607757,57325.290042743094
2024-06-24 04:00:00,55678.365407402875,57138.94679215881
2024-06-25 04:00:00,55892.77338120521,57358.97921798999
2024-06-26 04:00:00,55962.53291335142,57430.5687153896
2024-06-27 04:00:00,56050.75820400691,57521.10837386558
