timestamp,pnl_dollars
2025-01-02,-448.0465354153912
2025-01-03,801.5612163996575
2025-01-04,21.054843923802764
2025-01-06,227.36924031785384
2025-01-07,-296.8607706610692
2025-01-08,-126.61466414139613
2025-01-10,-269.20045039535944
2025-01-13,536.4982477513095
2025-01-14,-275.2704386059031
2025-01-15,803.3116951931243
2025-01-16,-124.64784625519678
2025-01-17,395.54209457793877
2025-01-21,5.097102221589012
2025-01-22,-151.17893717115476
2025-01-23,-81.70122520493351
2025-01-24,-128.4287741988901
2025-01-27,65.50664613503432
2025-01-28,-270.8789399384186
2025-01-29,-99.58559969782982
2025-01-30,-343.13772897758827
2025-01-31,260.1389884347209
2025-02-03,66.51287877641334
2025-02-04,-198.28678054896227
2025-02-05,-29.28077203990142
2025-02-06,-159.87796520100892
2025-02-07,-197.73436819882227
2025-02-10,-88.16736456328181
2025-02-11,-36.21990634486974
2025-02-12,236.15974193969123
2025-02-13,230.95752673704374
2025-02-14,150.4048901949809
2025-02-18,-203.10200034761874
2025-02-19,-218.3038805413853
2025-02-20,-111.47595442091188
2025-02-21,-67.09503733410384
2025-02-22,-20.74276977723639
2025-02-24,-419.5428533070826
2025-02-25,-25.62040373973832
2025-02-26,-106.56145342119089
2025-02-27,-65.09587817011379
2025-02-28,51.12680450860353
2025-03-01,52.03332249736013
2025-03-03,16.239404042611568
2025-03-04,-43.971233305368514
2025-03-05,38.60679433641417
2025-03-06,-191.92261341991616
2025-03-07,-50.77050805673207
2025-03-10,-85.29502412410693
2025-03-11,-491.26139425010115
2025-03-12,404.1184456130268
2025-03-13,-567.0446995579478
2025-03-14,231.51529019118607
2025-03-17,-128.94128609094878
2025-03-18,-48.9657422455748
2025-03-19,316.2632485555205
2025-03-20,-196.3963875373065
2025-03-21,39.899791142061076
2025-03-24,806.0960973711753
2025-03-25,-358.0627655030439
2025-03-26,-288.7180046591184
2025-03-27,100.84276857622535
2025-03-28,-117.09843661982268
2025-03-31,222.37586287874547
2025-04-01,-145.2948148422056
2025-04-02,-5.536028467207871
2025-04-03,-400.3040545527292
2025-04-04,-595.6356926008075
2025-04-07,22.63487244848966
2025-04-08,76.75070340100501
2025-04-09,1320.7452901646793
2025-04-10,-338.717385475602
