feature,ic,p_value,significance
rsi_14,-0.017090304327743937,0.00017445494379870666,❌ NOISE
volume_zscore,0.011475742063814914,0.01172824809761958,❌ NOISE
log_return,-0.004751502491712448,0.29673476412008765,❌ NOISE
rvol,0.01902456061074727,2.937309913627036e-05,❌ NOISE
parkinson_vol,-0.010829987327950904,0.01738829867197934,❌ NOISE
