symbol,earnings_date,entry_date,exit_date,entry_price,exit_price,price_move_pct,hold_days,pnl,pnl_pct,contracts,period,year
NVDA,2020-02-13,2020-02-10,2020-02-14,262.97,289.79,10.198882001749245,4,43327.90357160657,85.51351005065958,38,pre_split,2020
NVDA,2020-05-21,2020-05-18,2020-05-22,350.01,361.05,3.1541955944115943,4,-8070.566318157595,-16.403958759010226,28,pre_split,2020
NVDA,2020-08-19,2020-08-14,2020-08-20,462.56,485.64,4.989622967831197,6,-5415.673522530495,-11.04889516052357,21,pre_split,2020
NVDA,2020-11-18,2020-11-13,2020-11-19,531.88,537.61,1.0773106715800589,6,-26989.26761311149,-56.12622922939741,18,pre_split,2020
NVDA,2021-02-24,2021-02-19,2021-02-25,597.06,532.3,10.846481090677655,6,51231.37208758349,106.77862146541285,16,pre_split,2021
NVDA,2021-05-26,2021-05-21,2021-05-27,599.67,619.52,3.310153917988231,6,-15349.095490969798,-31.86109622954002,16,pre_split,2021
NVDA,2021-08-18,2021-08-13,2021-08-19,201.88,197.98,1.931840697444029,6,-30325.648467833456,-60.55448987893504,49,pre_split,2021
NVDA,2021-11-17,2021-11-12,2021-11-18,303.9,316.75,4.2283645936163285,6,-10579.064074679649,-21.60898574316579,32,pre_split,2021
NVDA,2022-02-16,2022-02-11,2022-02-17,239.49,245.07,2.3299511461856377,6,-23954.859344299064,-48.53413388365446,41,pre_split,2022
NVDA,2022-05-25,2022-05-20,2022-05-26,166.94,178.51,6.930633760632558,6,28871.59100033254,57.58249327861772,59,pre_split,2022
NVDA,2022-08-24,2022-08-19,2022-08-25,178.49,179.13,0.35856350495825334,6,-31698.941737805195,-62.4333772770984,56,pre_split,2022
NVDA,2022-11-16,2022-11-11,2022-11-17,163.27,156.77,3.981135542353157,6,-1057.2599486169347,-2.0778559559194503,61,pre_split,2022
NVDA,2023-02-22,2023-02-17,2023-02-23,213.88,236.64,10.641481204413687,6,49000.64920209025,98.69904818413451,46,pre_split,2023
NVDA,2023-05-24,2023-05-19,2023-05-25,312.64,379.8,21.481576253838288,6,149849.3782529949,305.05711211260405,31,pre_split,2023
NVDA,2023-08-23,2023-08-18,2023-08-24,432.99,471.63,8.923993625718836,6,33311.874263470585,66.35519978942163,23,pre_split,2023
NVDA,2023-11-21,2023-11-17,2023-11-22,492.98,487.16,1.180575276887499,5,-20994.84328017841,-42.27415071961077,20,pre_split,2023
NVDA,2024-02-21,2024-02-16,2024-02-22,726.13,785.38,8.159695922217784,6,30433.88472938435,64.23516650470623,13,pre_split,2024
NVDA,2024-05-22,2024-05-17,2024-05-23,924.79,1037.99,12.240616788676354,6,65531.946581440054,141.15182101288656,10,pre_split,2024
NVDA,2024-08-28,2024-08-23,2024-08-29,129.37,117.59,9.105665919455824,6,44234.136118214294,88.038889587429,77,post_split,2024
NVDA,2024-11-20,2024-11-15,2024-11-21,141.98,146.67,3.303282152415832,6,-4208.243278618458,-8.260802097873977,70,post_split,2024
NVDA,2025-02-26,2025-02-21,2025-02-27,134.43,120.15,10.622628877482706,6,58540.2415997878,116.78122694148234,74,post_split,2025
NVDA,2025-05-28,2025-05-23,2025-05-29,131.29,139.19,6.017213801508117,6,18687.681514462412,36.94989440979024,76,post_split,2025
NVDA,2025-08-27,2025-08-22,2025-08-28,177.99,180.17,1.224787909433102,6,-32259.9112527958,-63.21809699283948,56,post_split,2025
NVDA,2025-11-19,2025-11-14,2025-11-20,190.17,180.64,5.011305673870748,6,-1312.2611792942625,-2.643545360963809,52,post_split,2025
AAPL,2020-01-28,2020-01-24,2020-01-29,318.31,324.34,1.8943796927523397,5,-11333.55470603047,-36.420302711777595,31,pre_split,2020
AAPL,2020-04-30,2020-04-27,2020-05-01,283.17,289.07,2.0835540488045967,4,-8058.415563465547,-25.66814727960573,35,pre_split,2020
AAPL,2020-07-30,2020-07-27,2020-07-31,379.24,425.04,12.076785149245863,4,85400.44498124956,276.83335797377964,26,pre_split,2020
AAPL,2020-10-29,2020-10-26,2020-10-30,115.05,108.86,5.3802694480660564,4,21281.94901011575,68.80967856516169,86,pre_split,2020
AAPL,2021-01-27,2021-01-22,2021-01-28,139.07,137.09,1.4237434385561156,6,-9993.029243902361,-31.911860217962605,71,pre_split,2021
