window,symbol,train_start,train_end,test_start,test_end,is_sharpe,oos_sharpe,oos_return,oos_buy_hold,oos_outperformance,oos_max_dd,oos_trades,oos_win_rate,param_rsi_period,param_hysteresis_upper,param_hysteresis_lower
W1,NVDA,2020-01-01,2020-06-30,2020-07-01,2020-12-31,1.9941757518253465,0.7866660877907955,13.290105124999997,37.94071353620148,-24.650608411201482,-24.07908433086772,4,50.0,14,58,45
W1,AAPL,2020-01-01,2020-06-30,2020-07-01,2020-12-31,2.77069589685866,-0.7561362372568884,-63.708969089500044,-63.27483452802725,-0.4341345614727956,-74.71021000922971,3,33.3,21,55,45
W1,MSFT,2020-01-01,2020-06-30,2020-07-01,2020-12-31,2.231355622689741,-1.0440211988869659,-9.968174956000064,8.295065950170999,-18.263240906171063,-14.543606405528545,8,50.0,14,55,45
W1,GOOGL,2020-01-01,2020-06-30,2020-07-01,2020-12-31,1.2069861859477538,1.1945185419441566,16.685547903999943,20.405686546463244,-3.7201386424633007,-11.307601008051297,3,66.7,14,55,35
W1,AMZN,2020-01-01,2020-06-30,2020-07-01,2020-12-31,2.473559545193897,-1.0857366908983679,-12.794240234000053,14.143537013235141,-26.937777247235196,-23.75373983409578,9,44.4,14,55,45
W1,META,2020-01-01,2020-06-30,2020-07-01,2020-12-31,1.0909573614209946,-0.6105549495647217,-9.24441435500004,14.447484740054728,-23.69189909505477,-21.696648009350717,5,20.0,14,58,42
W1,TSLA,2020-01-01,2020-06-30,2020-07-01,2020-12-31,3.6879852794219996,0.03553408128457333,-50.926110436500046,-37.94557130480606,-12.980539131693988,-79.89291688089237,6,33.3,14,55,45
W2,NVDA,2020-07-01,2020-12-31,2021-01-01,2021-06-30,1.5828423968201906,1.0526880656143647,19.04345639199998,52.71857246349183,-33.67511607149185,-19.308161716437425,4,50.0,21,55,35
W2,AAPL,2020-07-01,2020-12-31,2021-01-01,2021-06-30,-0.6876268069969784,-0.6833195991165133,-5.299092112500004,5.347345645622448,-10.646437758122453,-14.774322049085617,4,25.0,21,55,35
W2,MSFT,2020-07-01,2020-12-31,2021-01-01,2021-06-30,0.4906437213850581,0.9289983956385098,10.246592685999968,24.672699710597623,-14.426107024597655,-10.95396798469657,4,75.0,21,55,35
W2,GOOGL,2020-07-01,2020-12-31,2021-01-01,2021-06-30,1.1945185419441566,2.241467956910074,33.65802413999999,41.672411695526975,-8.014387555526987,-8.53041999254822,2,100.0,14,55,35
W2,AMZN,2020-07-01,2020-12-31,2021-01-01,2021-06-30,0.7654167552639882,-0.18815452144308542,-0.49482008750003637,8.20647517910771,-8.701295266607746,-9.560945748552832,3,33.3,28,55,35
W2,META,2020-07-01,2020-12-31,2021-01-01,2021-06-30,0.22197670580013526,1.6274653907901955,25.279214829999972,30.84331077563769,-5.5640959456377175,-9.699791907518538,2,50.0,28,55,35
W2,TSLA,2020-07-01,2020-12-31,2021-01-01,2021-06-30,0.5447051606802875,-0.3645830575981706,-8.313390991000036,-6.715814571714374,-1.5975764192856623,-26.363383514542914,3,33.3,21,55,35
W3,NVDA,2021-01-01,2021-06-30,2021-07-01,2021-12-31,1.9153437747723039,-0.17789351580428722,-4.629205208000043,-63.40540273105086,58.77619752305082,-23.708405035119334,6,16.7,14,55,35
W3,AAPL,2021-01-01,2021-06-30,2021-07-01,2021-12-31,0.4635457009326335,2.300264218322706,28.32832453799996,29.817148685073192,-1.488824147073231,-6.808800202289429,2,100.0,14,55,35
W3,MSFT,2021-01-01,2021-06-30,2021-07-01,2021-12-31,1.6699662144636798,1.3243772368470232,14.391682807499983,24.933726067746665,-10.542043260246682,-7.135473868805919,2,100.0,28,55,35
W3,GOOGL,2021-01-01,2021-06-30,2021-07-01,2021-12-31,2.5861987518726024,1.0394409138221352,12.037531548499981,19.401443102793525,-7.363911554293544,-8.799208892833512,2,100.0,21,55,35
W3,AMZN,2021-01-01,2021-06-30,2021-07-01,2021-12-31,0.38868368458607616,-0.6671961270266699,-5.567749686500012,-1.750088116121029,-3.8176615703789825,-12.991471821116793,3,33.3,14,55,35
W3,META,2021-01-01,2021-06-30,2021-07-01,2021-12-31,1.7871535417,-0.6526376177769879,-6.503344272500023,-2.83021529952876,-3.673128972971263,-18.314652833929816,5,40.0,14,55,35
W3,TSLA,2021-01-01,2021-06-30,2021-07-01,2021-12-31,0.5855997597971215,1.1335997874998534,22.799791560500005,57.88588624026434,-35.08609467976434,-17.603730683434023,3,33.3,28,65,45
W4,NVDA,2021-07-01,2021-12-31,2022-01-01,2022-06-30,1.8852816571000313,-2.3109629937163336,-23.87998793399998,-48.40144749510309,24.52145956110311,-23.879987933999974,3,0.0,14,65,45
W4,AAPL,2021-07-01,2021-12-31,2022-01-01,2022-06-30,2.409600964767693,-0.9747727026789627,-3.3547927545000245,-23.504203065765616,20.14941031126559,-7.393485183126809,2,50.0,21,55,45
W4,MSFT,2021-07-01,2021-12-31,2022-01-01,2022-06-30,1.626533228887678,-3.140745209340403,-21.554546599500025,-22.25242718446602,0.6978805849659935,-23.962022857515286,8,12.5,14,55,45
W4,GOOGL,2021-07-01,2021-12-31,2022-01-01,2022-06-30,1.4454571168460122,-2.791731643966101,-9.081495967500008,-22.959966618732818,13.87847065123281,-9.081495967500015,1,0.0,28,65,45
W4,AMZN,2021-07-01,2021-12-31,2022-01-01,2022-06-30,-0.6671961270266699,-1.4659255239462867,-94.29033683375002,-96.80407500975619,2.5137381760061714,-94.42008217263458,3,33.3,14,55,35
W4,META,2021-07-01,2021-12-31,2022-01-01,2022-06-30,-0.2604299100622471,-1.7253020610838408,-34.14414422350003,-51.574407750930476,17.430263527430448,-34.94884197747937,4,25.0,14,55,42
W4,TSLA,2021-07-01,2021-12-31,2022-01-01,2022-06-30,1.9011541253081894,-0.7089907530476138,-13.03872625000001,-42.86702562136391,29.828299371363897,-31.196984819055395,1,0.0,28,55,35
W5,NVDA,2022-01-01,2022-06-30,2022-07-01,2022-12-31,-0.8838111167285498,1.0909726309610828,24.173130709000024,0.6265923018660136,23.54653840713401,-25.80605481409524,4,50.0,14,55,42
W5,AAPL,2022-01-01,2022-06-30,2022-07-01,2022-12-31,-0.9308936810060198,0.20393117789198267,3.1027020149999807,-6.47808248758367,9.58078450258365,-16.36430056148518,4,25.0,14,58,45
W5,MSFT,2022-01-01,2022-06-30,2022-07-01,2022-12-31,-0.8143883441174634,-1.1703815739793868,-10.24860986650008,-7.612296787117645,-2.636313079382436,-13.915581034056935,4,25.0,14,65,45
W5,GOOGL,2022-01-01,2022-06-30,2022-07-01,2022-12-31,-0.776804428780166,-0.7619149975443121,-6.475537523000019,-95.9429819519485,89.46744442894848,-12.142234704889654,3,33.3,14,55,45
W5,AMZN,2022-01-01,2022-06-30,2022-07-01,2022-12-31,-1.22384533643963,0.0824320908762958,1.3146258670000188,-23.329682365826944,24.644308232826962,-17.389663273013255,3,33.3,28,58,45
W5,META,2022-01-01,2022-06-30,2022-07-01,2022-12-31,-1.4857888635291636,-0.9967331353263225,-16.686478353500046,-24.801599700056244,8.115121346556197,-28.959230516111518,6,16.7,14,58,45
W5,TSLA,2022-01-01,2022-06-30,2022-07-01,2022-12-31,0.6171407643168244,1.5421965409123521,24.18326157799997,-81.93285322459994,106.11611480259991,-8.15409654965262,1,100.0,14,65,45
W6,NVDA,2022-07-01,2022-12-31,2023-01-01,2023-06-30,1.7276904508192572,2.815237894660538,99.31582097949997,185.16940272441497,-85.85358174491499,-15.181340419885878,5,60.0,14,65,45
W6,AAPL,2022-07-01,2022-12-31,2023-01-01,2023-06-30,1.7699411164484589,3.3920984856807523,38.43868105449999,51.58711121771808,-13.148430163218094,-6.477036912210263,2,100.0,21,65,45
W6,MSFT,2022-07-01,2022-12-31,2023-01-01,2023-06-30,-0.574042400140371,2.5783359812911297,40.4352696465,39.84890224559645,0.5863674009035478,-9.511997508623711,1,100.0,28,55,35
W6,GOOGL,2022-07-01,2022-12-31,2023-01-01,2023-06-30,-0.7619149975443121,1.3204645448809749,20.992074997999932,33.64003590664271,-12.647960908642776,-14.465390767143871,5,60.0,14,55,45
W6,AMZN,2022-07-01,2022-12-31,2023-01-01,2023-06-30,0.8227588108124362,1.14882361982421,16.86423267699999,49.03285947331626,-32.16862679631627,-19.781441933397463,2,100.0,28,65,42
W6,META,2022-07-01,2022-12-31,2023-01-01,2023-06-30,-0.3577867127489315,3.522223288919035,120.84646128799999,125.693442360109,-4.846981072109017,-11.513077242227597,1,100.0,21,55,35
