entry_date,exit_date,type,strike,contracts,premium_collected,buyback_cost,pnl,pnl_pct,reason,hold_days
2025-01-02 05:00:00,2025-01-21 05:00:00,put,585,37,55352.894374786614,19230.331261951313,36122.5631128353,65.25867079010274,PROFIT_TARGET,19
2025-01-21 05:00:00,2025-02-14 05:00:00,call,605,31,53382.34858162471,46679.50098893755,6702.8475926871615,12.556299546165747,TIME_EXIT,24
2025-02-27 05:00:00,2025-03-24 04:00:00,put,585,37,54662.72562945138,60944.05349884776,-6281.32786939638,-11.49106232275418,TIME_EXIT,24
2025-04-03 04:00:00,2025-04-07 04:00:00,put,535,42,53658.360202366486,137051.54168670808,-83393.18148434159,-155.41507636430475,STOP_LOSS,4
2025-04-07 04:00:00,2025-04-09 04:00:00,put,505,42,54835.56862580779,7333.235971876103,47502.33265393169,86.62686253530562,PROFIT_TARGET,2
2025-05-13 04:00:00,2025-06-06 04:00:00,call,585,30,55946.31176450949,62737.33226805328,-6791.02050354379,-12.13845969351601,TIME_EXIT,24
2025-06-10 04:00:00,2025-07-07 04:00:00,call,605,31,53430.57581460472,66714.2250993727,-13283.649284767984,-24.86151249962204,TIME_EXIT,27
2025-07-09 04:00:00,2025-08-04 04:00:00,call,625,30,55054.91191849145,47096.44821750683,7958.463700984619,14.455501650365163,TIME_EXIT,26
2025-09-15 04:00:00,2025-10-09 04:00:00,call,660,27,55078.71581001531,54686.48131778951,392.234492225798,0.7121344179097138,TIME_EXIT,24
2025-10-28 04:00:00,2025-11-17 05:00:00,call,685,26,56639.499616758534,17771.96766388874,38867.531952869795,68.62266124499737,PROFIT_TARGET,20
