date,equity,cash,position_value,spy_price
2024-01-02 05:00:00,96167.0204439398,96167.0204439398,0.0,472.65
2024-01-03 05:00:00,100278.31755011734,96167.0204439398,4111.2971061775515,468.79
2024-01-04 05:00:00,100403.72248027296,96167.0204439398,4236.702036333173,467.28
2024-01-05 05:00:00,100345.8668842623,96167.0204439398,4178.846440322508,467.92
2024-01-08 05:00:00,98913.48556110187,95306.38081125982,3607.1047498420457,474.6
2024-01-09 05:00:00,99619.02629323478,95306.38081125982,4312.64548197496,473.88
2024-01-10 05:00:00,99850.86749653735,95306.38081125982,4544.48668527753,476.56
2024-01-11 05:00:00,99821.76574857545,95306.38081125982,4515.384937315634,476.35
2024-01-12 05:00:00,99841.95465647578,95306.38081125982,4535.573845215953,476.68
2024-01-16 05:00:00,103933.82005468258,99598.37470622893,4335.445348453652,474.93
2024-01-17 05:00:00,99598.37470622893,99598.37470622893,0.0,472.29
2024-01-18 05:00:00,95435.72613767558,95435.72613767558,0.0,476.49
2024-01-19 05:00:00,100078.2169746634,95435.72613767558,4642.490836987827,482.43
2024-01-22 05:00:00,100141.88041045069,95435.72613767558,4706.154272775103,483.45
2024-01-23 05:00:00,100262.55583799822,95435.72613767558,4826.82970032264,484.86
2024-01-24 05:00:00,100302.4185696446,95435.72613767558,4866.6924319690115,485.39
2024-01-25 05:00:00,100540.82800522496,95435.72613767558,5105.101867549388,488.03
2024-01-26 05:00:00,100473.49974587075,95435.72613767558,5037.773608195175,487.41
2024-01-29 05:00:00,100815.27145177172,95435.72613767558,5379.545314096151,491.27
2024-01-30 05:00:00,100770.7265061827,95435.72613767558,5335.000368507127,490.89
2024-01-31 05:00:00,104522.40549063549,99956.18621779131,4566.219272844171,482.88
2024-02-01 05:00:00,95531.0632640948,95531.0632640948,0.0,489.2
2024-02-02 05:00:00,100366.27365578375,95531.0632640948,4835.210391688941,494.35
2024-02-05 05:00:00,100171.22054707694,95531.0632640948,4640.157282982142,492.55
2024-02-06 05:00:00,100292.04795388697,95531.0632640948,4760.984689792167,493.98
2024-02-07 05:00:00,100665.26834496623,95531.0632640948,5134.205080871419,498.1
2024-02-08 05:00:00,100676.70481160068,95531.0632640948,5145.64154750588,498.32
2024-02-09 05:00:00,100940.20786684891,95531.0632640948,5409.144602754117,501.2
2024-02-12 05:00:00,100893.52368513914,95531.0632640948,5362.460421044329,500.98
2024-02-13 05:00:00,104885.62729412352,100184.79260566688,4700.834688456649,494.08
2024-02-14 05:00:00,95795.49273294755,95795.49273294755,0.0,498.57
2024-02-15 05:00:00,100436.39168610676,95795.49273294755,4640.898953159205,502.01
2024-02-16 05:00:00,100201.55587095411,95795.49273294755,4406.063138006556,499.51
2024-02-20 05:00:00,103985.95614474906,99870.09664133121,4115.859503417841,496.76
2024-02-21 05:00:00,99870.09664133121,99870.09664133121,0.0,497.21
2024-02-22 05:00:00,95117.57816542946,95117.57816542946,0.0,507.5
2024-02-23 05:00:00,99843.45595122295,95117.57816542946,4725.877785793489,507.85
2024-02-26 05:00:00,99642.71034778838,95117.57816542946,4525.132182358925,505.99
2024-02-27 05:00:00,99716.31556982703,95117.57816542946,4598.737404397576,506.93
2024-02-28 05:00:00,99644.59604987453,95117.57816542946,4527.017884445076,506.26
2024-02-29 05:00:00,99799.06243002194,95117.57816542946,4681.484264592473,508.08
2024-03-01 05:00:00,100229.97324699092,95117.57816542946,5112.395081561471,512.85
2024-03-04 05:00:00,100149.03360581513,95117.57816542946,5031.455440385679,512.3
2024-03-05 05:00:00,99662.47259698353,95117.57816542946,4544.89443155407,507.18
2024-03-06 05:00:00,99890.30181644406,95117.57816542946,4772.7236510145985,509.75
2024-03-07 05:00:00,100358.16437166283,95117.57816542946,5240.586206233376,514.81
2024-03-08 05:00:00,100055.52316002184,95117.57816542946,4937.944994592385,511.72
2024-03-11 04:00:00,99985.07131816573,95117.57816542946,4867.493152736279,511.28
2024-03-12 04:00:00,100503.7910203198,95117.57816542946,5386.212854890346,516.78
2024-03-13 04:00:00,100417.08724819879,95117.57816542946,5299.509082769338,515.97
2024-03-14 04:00:00,100310.02202290193,95117.57816542946,5192.443857472472,514.95
2024-03-15 04:00:00,104453.40722709568,99761.98709560512,4691.420131490571,509.83
2024-03-18 04:00:00,99761.98709560512,99761.98709560512,0.0,512.86
2024-03-19 04:00:00,95150.85817376742,95150.85817376742,0.0,515.71
2024-03-20 04:00:00,100133.05995982653,95150.85817376742,4982.201786059096,520.48
2024-03-21 04:00:00,100279.46855821396,95150.85817376742,5128.610384446534,522.2
2024-03-22 04:00:00,100178.0769349797,95150.85817376742,5027.218761212282,521.21
2024-03-25 04:00:00,100013.83071638961,95150.85817376742,4862.972542622185,519.77
2024-03-26 04:00:00,99915.06840905618,95150.85817376742,4764.2102352887605,518.81
2024-03-27 04:00:00,100306.98603652684,95150.85817376742,5156.1278627594165,523.17
2024-03-28 04:00:00,100287.49838308682,95150.85817376742,5136.6402093193865,523.07
2024-04-01 04:00:00,100161.76701093276,95150.85817376742,5010.908837165329,522.16
2024-04-02 04:00:00,104484.71567697737,99794.28627837941,4690.429398597962,518.84
2024-04-03 04:00:00,99794.28627837941,99794.28627837941,0.0,519.41
2024-04-04 04:00:00,99794.28627837941,99794.28627837941,0.0,513.07
2024-04-05 04:00:00,99794.28627837941,99794.28627837941,0.0,518.43
2024-04-08 04:00:00,99794.28627837941,99794.28627837941,0.0,518.72
2024-04-09 04:00:00,99794.28627837941,99794.28627837941,0.0,519.32
2024-04-10 04:00:00,99794.28627837941,99794.28627837941,0.0,514.12
2024-04-11 04:00:00,99794.28627837941,99794.28627837941,0.0,518.0
2024-04-12 04:00:00,95753.13746735801,95753.13746735801,0.0,510.85
2024-04-15 04:00:00,100274.27416137523,95753.13746735801,4521.136694017213,504.45
2024-04-16 04:00:00,100350.47741412588,95753.13746735801,4597.339946767869,503.53
2024-04-17 04:00:00,100609.11818477837,95753.13746735801,4855.980717420362,500.55
2024-04-18 04:00:00,100699.00077088567,95753.13746735801,4945.863303527659,499.52
2024-04-19 04:00:00,101093.21071760933,95753.13746735801,5340.073250251311,495.16
2024-04-22 04:00:00,100675.1303343364,95753.13746735801,4921.9928669783885,499.72
2024-04-23 04:00:00,104492.06938963877,100100.59756939718,4391.4718202415825,505.65
2024-04-24 04:00:00,100100.59756939718,100100.59756939718,0.0,505.41
2024-04-25 04:00:00,100100.59756939718,100100.59756939718,0.0,503.49
2024-04-26 04:00:00,100100.59756939718,100100.59756939718,0.0,508.26
2024-04-29 04:00:00,100100.59756939718,100100.59756939718,0.0,510.06
2024-04-30 04:00:00,100100.59756939718,100100.59756939718,0.0,501.98
2024-05-01 04:00:00,96033.6830720334,96033.6830720334,0.0,500.35
2024-05-02 04:00:00,103290.98622808982,99644.05147630267,3646.9347517871483,505.03
2024-05-03 04:00:00,99644.05147630267,99644.05147630267,0.0,511.29
2024-05-06 04:00:00,94955.83098749397,94955.83098749397,0.0,516.57
2024-05-07 04:00:00,99636.83591141121,94955.83098749397,4681.004923917243,517.14
2024-05-08 04:00:00,99629.83527090924,94955.83098749397,4674.004283415263,517.19
2024-05-09 04:00:00,99888.03699291417,94955.83098749397,4932.206005420198,520.17
2024-05-10 04:00:00,99938.43488946716,94955.83098749397,4982.603901973187,520.84
2024-05-13 04:00:00,99912.77274729642,94955.83098749397,4956.941759802447,520.91
2024-05-14 04:00:00,100124.08522059568,94955.83098749397,5168.2542331016975,523.3
2024-05-15 04:00:00,100726.55322089867,94955.83098749397,5770.722233404695,529.78
2024-05-16 04:00:00,100613.55394417471,94955.83098749397,5657.722956680737,528.69
2024-05-17 04:00:00,100677.20406152353,94955.83098749397,5721.3730740295605,529.45
2024-05-20 04:00:00,100709.67533585732,94955.83098749397,5753.844348363345,530.06
2024-05-21 04:00:00,100826.86657459753,94955.83098749397,5871.035587103557,531.36
2024-05-22 04:00:00,100670.50810586741,94955.83098749397,5714.677118373442,529.83
2024-05-23 04:00:00,100289.1396452256,94955.83098749397,5333.308657731635,525.96
2024-05-24 04:00:00,100616.02836272641,94955.83098749397,5660.197375232446,529.44
2024-05-28 04:00:00,100619.71812873101,94955.83098749397,5663.887141237041,529.81
2024-05-29 04:00:00,105491.63343309486,100197.21160113462,5294.421831960244,526.1
2024-05-30 04:00:00,100197.21160113462,100197.21160113462,0.0,522.61
2024-05-31 04:00:00,100197.21160113462,100197.21160113462,0.0,527.37
2024-06-03 04:00:00,95378.38006308743,95378.38006308743,0.0,527.8
2024-06-04 04:00:00,100190.40763488018,95378.38006308743,4812.027571792737,528.39
2024-06-05 04:00:00,100750.87802578312,95378.38006308743,5372.497962695689,534.67
