entry_date,exit_date,type,strike,contracts,entry_price,exit_price,pnl,pnl_pct,reason
2024-01-02 05:00:00,2024-01-08 05:00:00,put,510,1,38.32882556060202,35.71033702343625,-261.94585371657695,-6.834000804998364,SIGNAL_CHANGE
2024-01-08 05:00:00,2024-01-16 05:00:00,call,435,1,44.3147933502359,42.92090894969115,-139.48544005447457,-3.147535538361251,SIGNAL_EXIT
2024-01-18 05:00:00,2024-01-31 05:00:00,call,440,1,41.6255156855336,45.20557080115729,357.9085115623693,8.598095795695595,SIGNAL_EXIT
2024-02-01 05:00:00,2024-02-13 05:00:00,call,450,1,44.250259536965046,46.53826341572083,228.7033878755783,5.168294537093756,SIGNAL_EXIT
2024-02-14 05:00:00,2024-02-20 05:00:00,call,460,1,43.8920287271934,40.74700908383662,-314.59896433567746,-7.167406498949713,SIGNAL_EXIT
2024-02-22 05:00:00,2024-03-15 04:00:00,call,465,1,47.52421475901757,46.44505930175665,-108.01254572609196,-2.2727433101792904,SIGNAL_EXIT
2024-03-19 04:00:00,2024-04-02 04:00:00,call,475,1,46.11031921837698,46.435251046119824,32.39618277428417,0.7025651054964029,SIGNAL_EXIT
2024-04-12 04:00:00,2024-04-23 04:00:00,put,550,1,40.410518110214014,43.47557102039167,306.40829101776535,7.582207568850219,SIGNAL_EXIT
2024-05-01 04:00:00,2024-05-02 04:00:00,put,540,1,40.668174973637846,36.104654042692765,-456.4490930945085,-11.223474046242758,SIGNAL_EXIT
2024-05-06 04:00:00,2024-05-29 04:00:00,call,475,1,46.88123488808699,52.41477613640642,553.2571248319427,11.801004798145238,SIGNAL_EXIT
2024-06-03 04:00:00,2024-07-18 04:00:00,call,485,1,48.187345380471875,67.35159592424806,1916.3280543776182,39.76748386506582,SIGNAL_EXIT
2024-07-24 04:00:00,2024-07-26 04:00:00,put,585,1,44.73103664428842,41.15546994637926,-357.65366979091596,-7.995475647560353,SIGNAL_EXIT
2024-07-30 04:00:00,2024-07-31 04:00:00,put,585,1,44.09493059636216,36.298135976790874,-779.776461957129,-17.68364975907668,SIGNAL_EXIT
2024-08-02 04:00:00,2024-08-08 04:00:00,put,575,1,43.205404835618126,43.920235236991644,71.38604013735221,1.6522108232626718,SIGNAL_EXIT
2024-08-15 04:00:00,2024-09-03 04:00:00,call,510,1,48.93683201750377,44.6935935390752,-424.42084784285635,-8.672658565479754,SIGNAL_EXIT
2024-09-06 04:00:00,2024-09-09 04:00:00,put,585,1,45.45437149395507,39.5350171475316,-592.0324346423467,-13.024485466049768,SIGNAL_EXIT
2024-09-12 04:00:00,2024-10-01 04:00:00,call,515,1,49.95018542963348,55.502080833904266,555.0925404270793,11.112706716244869,SIGNAL_EXIT
2024-10-04 04:00:00,2024-10-07 04:00:00,call,525,1,53.6528595564092,47.64363856904083,-601.019098736836,-11.201793119071807,SIGNAL_EXIT
2024-10-08 04:00:00,2024-10-23 04:00:00,call,525,1,53.82531078825226,55.419632319457094,159.33515312048348,2.9601739296700362,SIGNAL_EXIT
2024-10-29 04:00:00,2024-10-30 04:00:00,call,535,1,52.75730282839864,50.03703366724455,-272.123916115409,-5.157938300984913,SIGNAL_EXIT
2024-10-31 04:00:00,2024-11-05 05:00:00,put,615,1,47.31149474996634,39.573889304310256,-773.8575445656084,-16.35631431706713,SIGNAL_EXIT
2024-11-06 05:00:00,2024-11-15 05:00:00,call,545,1,52.3079122725856,45.40915537906578,-689.9726893519819,-13.190354283551335,SIGNAL_EXIT
2024-11-21 05:00:00,2024-12-17 05:00:00,call,545,1,54.66712363404436,60.49769648789634,582.9602853851984,10.663629306110685,SIGNAL_EXIT
2024-12-18 05:00:00,2024-12-23 05:00:00,put,635,1,49.5603083133428,41.5331908852827,-802.8087428060098,-16.198305817101556,SIGNAL_EXIT
2024-12-30 05:00:00,2025-01-03 05:00:00,put,635,1,47.95006249055927,43.76624044263368,-418.47920479255845,-8.727219896150304,SIGNAL_EXIT
2025-01-10 05:00:00,2025-01-15 05:00:00,put,625,1,45.93844609699512,35.24561704880537,-1069.3799048189749,-23.27804738660844,SIGNAL_EXIT
2025-01-21 05:00:00,2025-01-27 05:00:00,call,555,1,54.309220188780685,49.17811327724763,-513.207691153305,-9.44956534619764,SIGNAL_EXIT
